key,en,ru,es,tr,ar,
admin.images.loading,Loading images..., Загрузка изображений... , Cargando imágenes... , Görseller yükleniyor... , جاري تحميل الصور,
setup.services.title,Setup Services Table, Таблица настройки услуг , Tabla de configuración de servicios , Hizmetler Tablosu Kurulumu , إعداد جدول الخدمات,
setup.services.description,Initialize the services table with default data for the special request page., Инициализация таблицы услуг с данными по умолчанию для страницы специальных запросов. , Inicializar la tabla de servicios con datos predeterminados para la página de solicitud especial. , Özel talep sayfası için varsayılan verilerle hizmetler tablosunu başlatın. , تهيئة جدول الخدمات بالبيانات الافتراضية لصفحة الطلبات الخاصة,
setup.services.setup_button,Setup Services Table, Настроить таблицу услуг , Configurar tabla de servicios , Hizmetler Tablosunu Kur , Hizmetler جدول الإعداد,
setup.services.success,Success, Успешно , Éxito , Başarılı , نجاح,
setup.services.error,Error, Ошибка , Error , Hata , خطأ,
setup.services.logs,Setup Logs, Журналы настройки , Registros de configuración , Kurulum Kayıtları , سجلات الإعداد,
error.generic,An error occurred. Please try again.," Произошла ошибка. Пожалуйста, попробуйте снова. "," Ocurrió un error. Por favor, inténtelo de nuevo. ", Bir hata oluştu. Lütfen tekrar deneyin. , حدث خطأ. يرجى المحاولة مرة أخرى,
error.network,Network error. Please check your connection.," Сетевая ошибка. Пожалуйста, проверьте подключение. "," Error de red. Por favor, revise su conexión. ", Ağ hatası. Lütfen bağlantınızı kontrol edin. , خطأ في الشبكة. يرجى التحقق من الاتصال,
error.not_found,The requested resource was not found., Запрошенный ресурс не найден. , El recurso solicitado no fue encontrado. , İstenen kaynak bulunamadı. , المورد المطلوب غير موجود,
error.unauthorized,You are not authorized to perform this action., У вас нет прав для выполнения этого действия. , No está autorizado para realizar esta acción. , Bu işlemi yapmak için yetkiniz yok. , أنت غير مخول لأداء هذا الإجراء,
error.validation,Please check your input and try again.," Пожалуйста, проверьте введённые данные и попробуйте снова. "," Por favor, verifique su entrada e intente de nuevo. ", Lütfen girişinizi kontrol edin ve tekrar deneyin. , يرجى التحقق من الإدخال والمحاولة مرة أخرى,
success.saved,Successfully saved!, Успешно сохранено! , ¡Guardado con éxito! , Başarıyla kaydedildi! , تم الحفظ بنجاح!,
success.updated,Successfully updated!, Успешно обновлено! , ¡Actualizado con éxito! , Başarıyla güncellendi! , تم التحديث بنجاح!,
success.deleted,Successfully deleted!, Успешно удалено! , ¡Eliminado con éxito! , Başarıyla silindi! , تم الحذف بنجاح!,
success.created,Successfully created!, Успешно создано! , ¡Creado con éxito! , Başarıyla oluşturuldu! , تم الإنشاء بنجاح!,
success.sent,Successfully sent!, Успешно отправлено! , ¡Enviado con éxito! , Başarıyla gönderildi! , تم الإرسال بنجاح!,
confirm.delete,Are you sure you want to delete this item?," Вы уверены, что хотите удалить этот элемент? ", ¿Está seguro de que desea eliminar este elemento? , Bu öğeyi silmek istediğinizden emin misiniz? , هل أنت متأكد من حذف هذا العنصر؟,
confirm.save,Are you sure you want to save these changes?," Вы уверены, что хотите сохранить эти изменения? ", ¿Está seguro de que desea guardar estos cambios? , Bu değişiklikleri kaydetmek istediğinizden emin misiniz? , هل أنت متأكد من حفظ هذه التغييرات؟,
confirm.send,Are you sure you want to send this?," Вы уверены, что хотите отправить это? ", ¿Está seguro de que desea enviar esto? , Bunu göndermek istediğinizden emin misiniz? , هل أنت متأكد من إرسال هذا؟,
confirm.convert,Are you sure you want to convert this quotation to an order?," Вы уверены, что хотите преобразовать это коммерческое предложение в заказ? ", ¿Está seguro de que desea convertir esta cotización en un pedido? , Bu teklifi siparişe dönüştürmek istediğinizden emin misiniz? , هل أنت متأكد من تحويل هذا العرض إلى طلب؟,
status.active,Active, Активен , Activo , Aktif , نشط,
status.inactive,Inactive, Неактивен , Inactivo , Pasif , غير نشط,
status.pending,Pending, В ожидании , Pendiente , Beklemede , قيد الانتظار,
status.completed,Completed, Завершено , Completado , Tamamlandı , مكتمل,
status.cancelled,Cancelled, Отменено , Cancelado , İptal Edildi , ملغى,
status.processing,Processing, В обработке , En proceso , İşleniyor , قيد المعالجة,
status.shipped,Shipped, Отправлено , Enviado , Gönderildi , تم الشحن,
status.delivered,Delivered, Доставлено , Entregado , Teslim Edildi , تم التوصيل,
status.draft,Draft, Черновик , Borrador , Taslak , مسودة,
status.sent,Sent, Отправлено , Enviado , Gönderildi , تم الإرسال,
status.accepted,Accepted, Принято , Aceptado , Kabul Edildi , مقبول,
status.rejected,Rejected, Отклонено , Rechazado , Reddedildi , مرفوض,
status.expired,Expired, Истек , Expirado , Süresi Doldu , منتهي الصلاحية,
status.online,Online, В сети , En línea , Çevrimiçi , متصل,
status.offline,Offline, Не в сети , Sin conexión , Çevrimdışı , غير متصل,
date.today,Today, Сегодня , Hoy , Bugün , اليوم,
date.yesterday,Yesterday, Вчера , Ayer , Dün , أمس,
date.this_week,This Week, Эта неделя , Esta semana , Bu hafta , هذا الأسبوع,
date.this_month,This Month, Этот месяц , Este mes , Bu ay , هذا الشهر,
date.this_year,This Year, Этот год , Este año , Bu yıl , هذا العام,
file.upload,Upload File, Загрузить файл , Subir archivo , Dosya yükle , رفع ملف,
file.download,Download File, Скачать файл , Descargar archivo , Dosya indir , تحميل ملف,
file.delete,Delete File, Удалить файл , Eliminar archivo , Dosyayı sil , حذف ملف,
file.supported_formats,Supported formats, Поддерживаемые форматы , Formatos compatibles , Desteklenen formatlar , الصيغ المدعومة,
file.max_size,Maximum file size, Максимальный размер файла , Tamaño máximo de archivo , Maksimum dosya boyutu , الحد الأقصى لحجم الملف,
validation.required,This field is required, Это поле обязательно , Este campo es obligatorio , Bu alan zorunludur , هذا الحقل مطلوب,
validation.email,Please enter a valid email address," Пожалуйста, введите корректный email "," Por favor, introduzca un correo válido ", Lütfen geçerli bir e-posta girin , الرجاء إدخال بريد إلكتروني صحيح,
validation.phone,Please enter a valid phone number," Пожалуйста, введите корректный номер телефона "," Por favor, introduzca un número válido ", Lütfen geçerli bir telefon numarası girin , الرجاء إدخال رقم هاتف صحيح,
validation.min_length,Minimum {count} characters required, Требуется минимум {count} символов , Se requieren al menos {count} caracteres , En az {count} karakter gereklidir , مطلوب {count} أحرف على الأقل,
validation.max_length,Maximum {count} characters allowed, Максимум {count} символов , Máximo {count} caracteres , En fazla {count} karakter izin verilir , الحد الأقصى {count} حرفاً,
validation.numeric,Please enter a valid number," Пожалуйста, введите число "," Por favor, introduzca un número válido ", Lütfen geçerli bir sayı girin , الرجاء إدخال رقم صحيح,
pagination.showing,Showing {start} to {end} of {total} results, Показано с {start} по {end} из {total} результатов , Mostrando {start} a {end} de {total} resultados , {start} - {end} arası {total} sonuç gösteriliyor , {total} sonuçtan {start} - {end} arası gösteriliyor , عرض {start} إلى {end} من {total} نتائج
pagination.per_page,Per page, На странице , Por página , Sayfa başına , في الصفحة,
pagination.first,First, Первая , Primera , İlk , الأولى,
pagination.last,Last, Последняя , Última , Son , الأخيرة,
pagination.of,of, из , de , -den , من,
pagination.page,Page, Страница , Página , Sayfa , الصفحة,
search.no_results,No results found, Результаты не найдены , No se encontraron resultados , Sonuç bulunamadı , لم يتم العثور على نتائج,
search.try_different,Try a different search term, Попробуйте другой запрос , Pruebe con otro término de búsqueda , Farklı bir arama terimi deneyin , حاول مصطلح بحث مختلف,
filter.all,All, Все , Todos , Tümü , الكل,
filter.apply,Apply Filters, Применить фильтры , Aplicar filtros , Filtreleri uygula , تطبيق الفلاتر,
filter.clear_all,Clear All Filters, Очистить все фильтры , Limpiar todos los filtros , Tüm filtreleri temizle , مسح جميع الفلاتر,
filter.results,{count} results found, Найдено {count} результатов , {count} resultados encontrados , {count} sonuç bulundu , تم العثور على {count} نتائج,
modal.close,Close, Закрыть , Cerrar , Kapat , إغلاق,
modal.confirm,Confirm, Подтвердить , Confirmar , Onayla , تأكيد,
modal.cancel,Cancel, Отмена , Cancelar , İptal , إلغاء,
dialog.title,Confirmation, Подтверждение , Confirmación , Onay , تأكيد,
dialog.message,Are you sure you want to proceed?," Вы уверены, что хотите продолжить? ", ¿Está seguro de que desea continuar? , Devam etmek istediğinizden emin misiniz? , هل أنت متأكد أنك تريد المتابعة؟,
notification.success,Operation completed successfully, Операция успешно выполнена , Operación completada con éxito , İşlem başarıyla tamamlandı , تم إتمام العملية بنجاح,
notification.error,An error occurred, Произошла ошибка , Ocurrió un error , Bir hata oluştu , حدث خطأ,
notification.warning,Warning, Предупреждение , Advertencia , Uyarı , تحذير,
notification.info,Information, Информация , Información , Bilgi , معلومات,
loading.please_wait,Please wait...," Пожалуйста, подождите... ", Por favor espere... , Lütfen bekleyin... , الرجاء الانتظار...,
loading.processing,Processing..., Обработка... , Procesando... , İşleniyor... , جاري المعالجة...,
loading.saving,Saving..., Сохранение... , Guardando... , Kaydediliyor... , جارٍ الحفظ...,
loading.loading,Loading..., Загрузка... , Cargando... , Yükleniyor... , جاري التحميل...,
loading.uploading,Uploading..., Загрузка... , Subiendo... , Yükleniyor... , جاري الرفع...,
loading.downloading,Downloading..., Загрузка... , Descargando... , İndiriliyor... , جاري التنزيل...,
empty.no_data,No data available, Данные отсутствуют , No hay datos disponibles , Veri yok , لا توجد بيانات,
empty.no_results,No results found, Результаты не найдены , No se encontraron resultados , Sonuç bulunamadı , لم يتم العثور على نتائج,
empty.no_items,No items to display, Нет элементов для отображения , No hay elementos para mostrar , Görüntülenecek öğe yok , لا توجد عناصر للعرض,
empty.start_by_adding,Start by adding your first item, Начните с добавления первого элемента , Comience agregando su primer elemento , İlk öğeyi ekleyerek başlayın , ابدأ بإضافة العنصر الأول,
accessibility.close,Close, Закрыть , Cerrar , Kapat , إغلاق,
accessibility.menu,Menu, Меню , Menú , Menü , القائمة,
accessibility.search,Search, Поиск , Buscar , Ara , البحث,
accessibility.loading,Loading, Загрузка , Cargando , Yükleniyor , جاري التحميل,
accessibility.error,Error, Ошибка , Error , Hata , خطأ,
accessibility.success,Success, Успех , Éxito , Başarı , نجاح,
accessibility.warning,Warning, Предупреждение , Advertencia , Uyarı , تحذير,
accessibility.info,Information, Информация , Información , Bilgi , معلومات,
contact.request_installation , Installation Services , Услуги по установке , Instalación , Kurulum Hizmetleri , خدمات التركيب,
contact.request_maintenance , Maintenance Support , Поддержка обслуживания , Mantenimiento , Bakım Desteği , دعم الصيانة,
contact.request_custom , Custom Solution , Индивидуальное решение , Solución personalizada , Özel Çözüm , حل مخصص,
contact.file_attachment , File Attachment (Optional) , Вложение файла (необязательно) , Adjunto (opcional) , Dosya Eki (İsteğe bağlı) , مرفق ملف (اختياري),
contact.file_formats , Supported formats , Поддерживаемые форматы , Formatos compatibles , Desteklenen formatlar , الصيغ المدعومة,
special_request.page_title , Special Request , Специальный запрос , Solicitud especial , Özel Talep , طلب خاص,
special_request.page_description , Professional services tailored to your specific requirements. From custom kitchen design to specialized installation and ongoing support. ," Профессиональные услуги, адаптированные к вашим требованиям. От индивидуального дизайна кухни до установки и поддержки. ", Servicios profesionales adaptados a sus requisitos específicos. Desde diseño personalizado hasta instalación especializada y soporte continuo. ," Gereksinimlerinize özel profesyonel hizmetler. Özel mutfak tasarımı, kurulum ve sürekli destek. "," خدمات احترافية مصممة حسب متطلباتك، من تصميم المطبخ إلى التركيب والدعم المستمر.",
special_request.loading , Loading services... , Загрузка услуг... , Cargando servicios... , Hizmetler yükleniyor... , جاري تحميل الخدمات...,
special_request.error , Failed to load services. Please try again later. ," Не удалось загрузить услуги. Пожалуйста, попробуйте позже. "," Error al cargar servicios. Por favor, inténtelo más tarde. ", Hizmetler yüklenemedi. Lütfen daha sonra yeniden deneyin. , فشل تحميل الخدمات. يرجى المحاولة لاحقًا.,
special_request.try_again , Try Again , Попробуйте снова , Intentar de nuevo , Tekrar dene , حاول مرة أخرى,
special_request.no_services , No services available at the moment. , Услуги временно недоступны. , No hay servicios disponibles en este momento. , Şu anda hizmet yok. , لا تتوفر خدمات حالياً.,
special_request.starting_from , Starting from , Начиная от , Desde , Başlangıç fiyatı , تبدأ من,
special_request.timeline , Timeline , Хронология , Cronograma , Zaman Çizelgesi , الجدول الزمني,
special_request.custom_solution , Need a Custom Solution? , Нужна индивидуальная разработка? , ¿Necesita una solución personalizada? , Özel çözüm mü istiyorsunuz? , هل تحتاج إلى حل مخصص؟,
special_request.custom_solution_description , Can't find what you're looking for? We specialize in creating custom solutions for unique requirements. Contact us to discuss your specific needs. , Не нашли нужное? Мы создаём индивидуальные решения. Свяжитесь с нами. , ¿No encuentra lo que busca? Creamos soluciones personalizadas. Contáctenos. , Aradığınızı bulamadınız mı? Özel çözümler sunuyoruz. İletişime geçin. , لا تجد ما تبحث عنه؟ نحن نبتكر حلولاً مخصصة. اتصل بنا.,
special_request.discuss_project , Discuss Your Project , Обсудить проект , Discutir su proyecto , Projenizi konuşalım , ناقش مشروعك,
about.page_title , About Us , О нас , Sobre nosotros , Hakkımızda , من نحن,
about.hero_description ," ChefGear has been at the forefront of professional kitchen solutions for over 15 years, providing exceptional equipment and consultancy services to culinary professionals worldwide. "," ChefGear более 15 лет лидер в профессиональных кухнях, предоставляя оборудование и консультации поварам по всему миру. "," ChefGear ha estado a la vanguardia de las soluciones de cocinas profesionales durante más de 15 años, ofreciendo equipos y consultoría excepcionales. "," ChefGear 15 yıldan fazla süredir profesyonel mutfak çözümlerinde öncü, dünya çapında ekipman ve danışmanlık sunuyor. "," ChefGear لأكثر من 15 عاماً تتقدم حلول المطابخ الاحترافية، مقدمة معدات واستشارات استثنائية للمحترفين حول العالم.",
about.our_story , Our Story , Наша история , Nuestra historia , Hikâyemiz , قصتنا,
about.story_paragraph1 ," Founded in 2009, ChefGear began as a small family business with a simple mission "," Основанная в 2009 г., ChefGear – семейный бизнес с простой миссией "," Fundada en 2009, ChefGear comenzó como pequeña empresa familiar con misión simple "," 2009'da kurulan ChefGear, basit bir misyonla aile işletmesi olarak başladı ", تأسست ChefGear في 2009 كشركة عائلية برؤية بسيطة,
about.story_paragraph2 ," Over the years, we've grown from a local supplier to an international consultancy, working with restaurants, hotels, catering companies, and industrial kitchens across 25 countries. Our success is built on understanding that every kitchen is unique, and every client deserves personalized solutions. "," Со временем мы выросли от локального поставщика до международной консультации, работая в 25 странах. Наш успех в понимании уникальности каждой кухни и клиента. ", Con los años pasamos de proveedor local a consultoría internacional en 25 países. Nuestro éxito radica en entender la singularidad de cada cocina y cliente. , Yıllar içerisinde yerel tedarikçiden 25 ülkede danışmanlığa dönüştük. Başarımız her mutfağın ve müşterinin benzersiz olduğunu anlamaya dayanıyor. , نشأنا من مورد محلي إلى استشاري دولي في 25 دولة. نجاحنا يقوم على فهم تفرد كل مطبخ وعميل.,
about.story_paragraph3 ," Today, ChefGear stands as a trusted partner in the culinary industry, combining traditional craftsmanship with cutting-edge technology to deliver solutions that exceed expectations. "," Сегодня ChefGear – надёжный партнёр, объединяющий традиции и технологии для превосходных решений. "," Hoy, ChefGear es socio de confianza en la industria culinaria, combinando artesanía tradicional con tecnología avanzada. "," Bugün ChefGear, beklentilerin ötesinde çözümler sunmak için geleneksel el işçiliğini ileri teknolojiyle birleştiren güvenilir bir ortak. "," اليوم ChefGear شريك موثوق في الطهي، يجمع بين الحرفية والتكنولوجيا لتجاوز التوقعات.",
about.our_core_values , Our Core Values , Наши основные ценности , Nuestros valores principales , Temel Değerlerimiz , قيمنا الأساسية,
about.core_values_subtitle , The principles that guide everything we do ," Принципы, руководящие нашими действиями ", Los principios que guían todo lo que hacemos , Yaptığımız her şeyi yönlendiren ilkeler , المبادئ التي ترشد كل ما نقوم به,
about.our_mission , Our Mission , Наша миссия , Nuestra misión , Misyonumuz , مهمتنا,
about.mission_description , To provide world-class kitchen equipment and consultancy services that empower culinary professionals to achieve excellence. , Предоставлять мирового класса оборудование и консультации для достижения кулинарного совершенства. , Proporcionar equipos y servicios de consultoría de clase mundial para capacitar a profesionales culinarios. , Dünya standartlarında mutfak ekipmanı ve danışmanlık hizmetleri sunmak ve mutfak profesyonellerini mükemmelliğe ulaştırmak. , تقديم معدات واستشارات مطبخ عالمية المستوى لتمكين المحترفين من تحقيق التميز.,
about.our_values , Our Values , Наши ценности , Nuestros valores , Değerlerimiz , قيمنا,
about.values_description ," Quality, integrity, innovation, and customer satisfaction are at the core of everything we do. "," Качество, честность, инновации и удовлетворённость клиентов – в основе всего. "," Calidad, integridad, innovación y satisfacción del cliente están en el centro de todo lo que hacemos. "," Kalite, dürüstlük, yenilik ve müşteri memnuniyeti her şeyimizin merkezinde. ", الجودة والنزاهة والابتكار ورضا العملاء في جوهر كل عملنا.,
about.our_vision , Our Vision , Наше видение , Nuestra visión , Vizyonumuz , رؤيتنا,
about.vision_description ," To be the leading global provider of professional kitchen solutions, setting industry standards for quality and service. "," Быть ведущим мировым поставщиком профессиональных кухонных решений, устанавливая отраслевые стандарты. "," Ser el principal proveedor global de soluciones de cocina profesional, estableciendo estándares de calidad y servicio. "," Profesyonel mutfak çözümleri konusunda global lider olmak, kalite ve hizmet standartlarını belirlemek. "," أن نكون المزود العالمي الرائد لحلول المطابخ المهنية، مع وضع معايير الجودة والخدمة.",
about.our_achievements , Our Achievements , Наши достижения , Nuestros logros , Başarılarımız , إنجازاتنا,
about.achievements_subtitle , Numbers that reflect our commitment to excellence ," Цифры, отражающие нашу приверженность совершенству ", Números que reflejan nuestro compromiso con la excelencia , Mükemmelliğe bağlılığımızı yansıtan sayılar , أرقام تعكس التزامنا بالتميز,
about.satisfied_clients , Satisfied Clients , Довольные клиенты , Clientes satisfechos , Memnun Müşteriler , عملاء راضون,
about.years_experience , Years Experience , Лет опыта , Años de experiencia , Yıllık Deneyim , سنوات الخبرة,
about.countries_served , Countries Served , Страны обслуживания , Países atendidos , Hizmet verildiği ülkeler , الدول المخدومة,
about.projects_completed , Projects Completed , Выполненные проекты , Proyectos completados , Tamamlanan proje sayısı , المشاريع المنجزة,
about.meet_our_team , Meet Our Team , Встречайте нашу команду , Conoce a nuestro equipo , Ekibimizle tanışın , تعرف على فريقنا,
about.team_subtitle , The experts behind ChefGear's success ," Эксперты, стоящие за успехом ChefGear ", Los expertos detrás del éxito de ChefGear , ChefGear başarısının arkasındaki uzmanlar , الخبراء وراء نجاح ChefGear,
